Alabama, Average Temperature, October
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197610,57.9,-6.0
197710,60.3,-3.6
197810,62.2,-1.7
197910,62.4,-1.5
198010,60.2,-3.7
198110,61.8,-2.1
198210,64.1,0.2
198310,64.0,0.1
198410,69.5,5.6
198510,67.6,3.7
198610,64.4,0.5
198710,57.8,-6.1
198810,59.2,-4.7
198910,62.3,-1.6
199010,64.0,0.1
199110,64.6,0.7
199210,61.9,-2.0
199310,62.8,-1.1
199410,64.0,0.1
199510,63.6,-0.3
199610,62.7,-1.2
199710,63.1,-0.8
199810,66.8,2.9
199910,63.6,-0.3
200010,64.6,0.7
200110,60.6,-3.3
200210,67.8,3.9
200310,63.5,-0.4
200410,68.5,4.6
200510,63.8,-0.1
200610,61.9,-2.0
200710,66.5,2.6
200810,62.2,-1.7
200910,62.8,-1.1
201010,64.3,0.4
201110,60.6,-3.3
201210,62.2,-1.7
201310,64.9,1.0
201410,65.2,1.3
201510,65.0,1.1
201610,68.5,4.6
201710,65.8,1.9
201810,67.4,3.5
201910,67.8,3.9
202010,66.9,3.0
202110,67.3,3.4
