Alabama, Average Temperature, November
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197611,45.9,-7.6
197711,55.9,2.4
197811,59.2,5.7
197911,52.8,-0.7
198011,52.0,-1.5
198111,54.8,1.3
198211,55.1,1.6
198311,53.2,-0.3
198411,51.8,-1.7
198511,61.2,7.7
198611,58.8,5.3
198711,55.7,2.2
198811,56.5,3.0
198911,54.0,0.5
199011,56.4,2.9
199111,50.4,-3.1
199211,52.4,-1.1
199311,51.7,-1.8
199411,58.0,4.5
199511,49.7,-3.8
199611,52.7,-0.8
199711,50.0,-3.5
199811,57.9,4.4
199911,56.2,2.7
200011,52.8,-0.7
200111,58.8,5.3
200211,51.0,-2.5
200311,58.2,4.7
200411,57.8,4.3
200511,55.8,2.3
200611,52.8,-0.7
200711,53.6,0.1
200811,51.0,-2.5
200911,53.4,-0.1
201011,55.2,1.7
201111,55.3,1.8
201211,51.2,-2.3
201311,51.6,-1.9
201411,48.2,-5.3
201511,59.2,5.7
201611,57.8,4.3
201711,55.6,2.1
201811,50.4,-3.1
201911,50.6,-2.9
202011,58.4,4.9
202111,52.1,-1.4
