Alabama, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197612,42.1,-4.3
197712,44.8,-1.6
197812,46.6,0.2
197912,45.6,-0.8
198012,45.0,-1.4
198112,43.1,-3.3
198212,52.4,6.0
198312,41.8,-4.6
198412,55.1,8.7
198512,41.6,-4.8
198612,45.9,-0.5
198712,50.4,4.0
198812,46.8,0.4
198912,38.3,-8.1
199012,50.9,4.5
199112,49.8,3.4
199212,47.1,0.7
199312,45.3,-1.1
199412,49.9,3.5
199512,44.7,-1.7
199612,49.1,2.7
199712,44.8,-1.6
199812,51.4,5.0
199912,47.0,0.6
200012,39.2,-7.2
200112,50.6,4.2
200212,45.2,-1.2
200312,44.0,-2.4
200412,45.1,-1.3
200512,43.4,-3.0
200612,49.4,3.0
200712,51.6,5.2
200812,49.7,3.3
200912,44.8,-1.6
201012,40.3,-6.1
201112,49.3,2.9
201212,50.9,4.5
201312,47.9,1.5
201412,50.0,3.6
201512,56.9,10.5
201612,50.1,3.7
201712,46.9,0.5
201812,49.0,2.6
201912,51.3,4.9
202012,45.9,-0.5
202112,56.8,10.4
