Alabama, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197606,74.6,-2.9
197706,79.1,1.6
197806,78.0,0.5
197906,75.2,-2.3
198006,77.4,-0.1
198106,79.9,2.4
198206,76.3,-1.2
198306,74.5,-3.0
198406,77.0,-0.5
198506,77.5,0.0
198606,79.0,1.5
198706,77.0,-0.5
198806,77.1,-0.4
198906,76.0,-1.5
199006,77.6,0.1
199106,76.8,-0.7
199206,74.9,-2.6
199306,77.6,0.1
199406,77.8,0.3
199506,75.2,-2.3
199606,76.7,-0.8
199706,74.0,-3.5
199806,80.7,3.2
199906,76.7,-0.8
200006,77.6,0.1
200106,75.8,-1.7
200206,77.2,-0.3
200306,75.6,-1.9
200406,76.8,-0.7
200506,76.7,-0.8
200606,78.1,0.6
200706,78.8,1.3
200806,78.7,1.2
200906,79.4,1.9
201006,80.9,3.4
201106,81.2,3.7
201206,76.8,-0.7
201306,78.0,0.5
201406,77.9,0.4
201506,78.8,1.3
201606,79.2,1.7
201706,75.8,-1.7
201806,79.3,1.8
201906,78.1,0.6
202006,76.9,-0.6
202106,77.0,-0.5
