Alabama, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197608,77.1,-2.2
197708,79.6,0.3
197808,79.3,0.0
197908,78.4,-0.9
198008,81.5,2.2
198108,78.3,-1.0
198208,78.6,-0.7
198308,81.1,1.8
198408,77.3,-2.0
198508,78.4,-0.9
198608,78.4,-0.9
198708,81.3,2.0
198808,80.4,1.1
198908,78.6,-0.7
199008,80.9,1.6
199108,78.8,-0.5
199208,75.8,-3.5
199308,80.1,0.8
199408,77.2,-2.1
199508,81.9,2.6
199608,77.9,-1.4
199708,77.7,-1.6
199808,79.9,0.6
199908,81.8,2.5
200008,81.0,1.7
200108,78.5,-0.8
200208,79.7,0.4
200308,79.4,0.1
200408,76.3,-3.0
200508,80.5,1.2
200608,82.3,3.0
200708,84.4,5.1
200808,78.4,-0.9
200908,78.0,-1.3
201008,83.0,3.7
201108,81.8,2.5
201208,78.1,-1.2
201308,77.9,-1.4
201408,79.5,0.2
201508,79.0,-0.3
201608,81.6,2.3
201708,78.8,-0.5
201808,79.5,0.2
201908,80.6,1.3
202008,80.2,0.9
202108,79.9,0.6
