Alabama, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197609,72.0,-2.7
197709,75.7,1.0
197809,76.9,2.2
197909,72.6,-2.1
198009,78.1,3.4
198109,71.5,-3.2
198209,72.2,-2.5
198309,72.0,-2.7
198409,72.5,-2.2
198509,72.7,-2.0
198609,76.4,1.7
198709,73.6,-1.1
198809,74.5,-0.2
198909,72.9,-1.8
199009,76.3,1.6
199109,74.4,-0.3
199209,73.4,-1.3
199309,74.0,-0.7
199409,72.2,-2.5
199509,73.7,-1.0
199609,72.1,-2.6
199709,74.8,0.1
199809,77.4,2.7
199909,73.3,-1.4
200009,73.9,-0.8
200109,71.9,-2.8
200209,77.3,2.6
200309,73.1,-1.6
200409,73.8,-0.9
200509,76.9,2.2
200609,72.8,-1.9
200709,76.0,1.3
200809,74.5,-0.2
200909,75.0,0.3
201009,76.9,2.2
201109,72.1,-2.6
201209,73.0,-1.7
201309,75.0,0.3
201409,76.3,1.6
201509,74.4,-0.3
201609,78.6,3.9
201709,73.4,-1.3
201809,79.4,4.7
201909,80.2,5.5
202009,74.3,-0.4
202109,73.9,-0.8
