Idaho, Average Temperature, November
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197611,33.7,2.1
197711,31.0,-0.6
197811,28.4,-3.2
197911,27.3,-4.3
198011,32.9,1.3
198111,35.0,3.4
198211,28.0,-3.6
198311,33.4,1.8
198411,31.3,-0.3
198511,22.7,-8.9
198611,32.2,0.6
198711,33.7,2.1
198811,31.1,-0.5
198911,33.7,2.1
199011,33.1,1.5
199111,29.7,-1.9
199211,28.0,-3.6
199311,26.6,-5.0
199411,25.2,-6.4
199511,36.6,5.0
199611,33.4,1.8
199711,33.8,2.2
199811,34.3,2.7
199911,38.8,7.2
200011,25.7,-5.9
200111,36.2,4.6
200211,32.8,1.2
200311,28.2,-3.4
200411,32.7,1.1
200511,32.0,0.4
200611,33.1,1.5
200711,33.5,1.9
200811,37.1,5.5
200911,33.0,1.4
201011,30.5,-1.1
201111,30.5,-1.1
201211,36.0,4.4
201311,33.8,2.2
201411,31.1,-0.5
201511,29.9,-1.7
201611,38.7,7.1
201711,34.9,3.3
201811,32.0,0.4
201911,34.3,2.7
202011,32.7,1.1
202111,36.7,5.1
