Idaho, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197612,25.0,1.1
197712,27.9,4.0
197812,17.6,-6.3
197912,28.4,4.5
198012,29.1,5.2
198112,27.6,3.7
198212,23.5,-0.4
198312,17.3,-6.6
198412,18.1,-5.8
198512,15.7,-8.2
198612,24.4,0.5
198712,24.4,0.5
198812,21.9,-2.0
198912,26.1,2.2
199012,14.5,-9.4
199112,25.8,1.9
199212,20.2,-3.7
199312,25.1,1.2
199412,24.5,0.6
199512,26.8,2.9
199612,25.3,1.4
199712,23.4,-0.5
199812,22.6,-1.3
199912,25.9,2.0
200012,24.2,0.3
200112,22.1,-1.8
200212,28.8,4.9
200312,28.1,4.2
200412,28.5,4.6
200512,23.0,-0.9
200612,25.3,1.4
200712,23.4,-0.5
200812,22.6,-1.3
200912,19.8,-4.1
201012,26.6,2.7
201112,24.8,0.9
201212,25.8,1.9
201312,21.1,-2.8
201412,29.1,5.2
201512,24.3,0.4
201612,19.1,-4.8
201712,25.2,1.3
201812,24.3,0.4
201912,26.6,2.7
202012,26.2,2.3
202112,26.5,2.6
