Idaho, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197603,27.4,-5.2
197703,30.8,-1.8
197803,37.4,4.8
197903,33.5,0.9
198003,32.4,-0.2
198103,36.5,3.9
198203,33.5,0.9
198303,36.0,3.4
198403,32.8,0.2
198503,27.8,-4.8
198603,39.8,7.2
198703,35.4,2.8
198803,33.8,1.2
198903,34.0,1.4
199003,36.1,3.5
199103,33.2,0.6
199203,41.0,8.4
199303,35.0,2.4
199403,37.4,4.8
199503,33.8,1.2
199603,34.8,2.2
199703,34.6,2.0
199803,34.0,1.4
199903,33.8,1.2
200003,34.5,1.9
200103,36.6,4.0
200203,30.1,-2.5
200303,36.3,3.7
200403,39.3,6.7
200503,35.9,3.3
200603,32.4,-0.2
200703,38.9,6.3
200803,30.3,-2.3
200903,31.4,-1.2
201003,35.2,2.6
201103,33.4,0.8
201203,36.4,3.8
201303,35.1,2.5
201403,36.2,3.6
201503,40.8,8.2
201603,37.0,4.4
201703,38.5,5.9
201803,33.7,1.1
201903,32.4,-0.2
202003,35.1,2.5
202103,34.9,2.3
202203,36.3,3.7
