Idaho, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197604,39.4,-1.6
197704,44.6,3.6
197804,41.1,0.1
197904,39.8,-1.2
198004,43.9,2.9
198104,42.3,1.3
198204,36.2,-4.8
198304,37.8,-3.2
198404,38.2,-2.8
198504,43.5,2.5
198604,41.0,0.0
198704,47.2,6.2
198804,44.3,3.3
198904,44.2,3.2
199004,46.1,5.1
199104,39.4,-1.6
199204,45.7,4.7
199304,39.6,-1.4
199404,43.9,2.9
199504,39.8,-1.2
199604,41.4,0.4
199704,38.5,-2.5
199804,41.3,0.3
199904,38.7,-2.3
200004,45.3,4.3
200104,40.1,-0.9
200204,41.5,0.5
200304,40.8,-0.2
200404,44.6,3.6
200504,41.7,0.7
200604,42.8,1.8
200704,43.0,2.0
200804,36.3,-4.7
200904,40.7,-0.3
201004,40.0,-1.0
201104,36.4,-4.6
201204,44.4,3.4
201304,40.1,-0.9
201404,41.6,0.6
201504,42.3,1.3
201604,47.0,6.0
201704,40.3,-0.7
201804,42.4,1.4
201904,42.9,1.9
202004,41.6,0.6
202104,42.0,1.0
