Idaho, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197605,51.1,1.8
197705,45.7,-3.6
197805,46.3,-3.0
197905,50.0,0.7
198005,49.2,-0.1
198105,48.1,-1.2
198205,47.0,-2.3
198305,48.2,-1.1
198405,47.7,-1.6
198505,51.4,2.1
198605,49.8,0.5
198705,53.1,3.8
198805,49.7,0.4
198905,48.5,-0.8
199005,47.3,-2.0
199105,46.5,-2.8
199205,55.3,6.0
199305,53.8,4.5
199405,52.7,3.4
199505,48.3,-1.0
199605,46.5,-2.8
199705,52.3,3.0
199805,49.0,-0.3
199905,46.6,-2.7
200005,50.3,1.0
200105,52.6,3.3
200205,48.7,-0.6
200305,49.9,0.6
200405,48.9,-0.4
200505,49.9,0.6
200605,51.8,2.5
200705,52.0,2.7
200805,48.9,-0.4
200905,50.8,1.5
201005,44.1,-5.2
201105,45.8,-3.5
201205,49.0,-0.3
201305,51.0,1.7
201405,51.6,2.3
201505,51.8,2.5
201605,50.6,1.3
201705,50.6,1.3
201805,54.0,4.7
201905,49.8,0.5
202005,50.6,1.3
202105,49.8,0.5
