Idaho, Average Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197607,65.5,0.4
197707,64.0,-1.1
197807,64.2,-0.9
197907,65.3,0.2
198007,64.4,-0.7
198107,63.8,-1.3
198207,62.9,-2.2
198307,61.8,-3.3
198407,65.6,0.5
198507,69.1,4.0
198607,61.2,-3.9
198707,62.6,-2.5
198807,66.9,1.8
198907,67.7,2.6
199007,66.4,1.3
199107,66.3,1.2
199207,62.4,-2.7
199307,56.2,-8.9
199407,67.2,2.1
199507,63.4,-1.7
199607,67.0,1.9
199707,62.9,-2.2
199807,69.1,4.0
199907,63.7,-1.4
200007,66.5,1.4
200107,65.6,0.5
200207,69.0,3.9
200307,70.4,5.3
200407,66.3,1.2
200507,66.8,1.7
200607,70.1,5.0
200707,72.0,6.9
200807,66.5,1.4
200907,65.8,0.7
201007,64.2,-0.9
201107,64.3,-0.8
201207,68.5,3.4
201307,69.6,4.5
201407,69.3,4.2
201507,65.1,0.0
201607,64.8,-0.3
201707,70.0,4.9
201807,68.4,3.3
201907,65.5,0.4
202007,64.9,-0.2
202107,71.9,6.8
