Illinois, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197612,23.4,-6.0
197712,25.9,-3.5
197812,29.1,-0.3
197912,33.8,4.4
198012,30.7,1.3
198112,27.3,-2.1
198212,37.9,8.5
198312,17.3,-12.1
198412,35.8,6.4
198512,20.9,-8.5
198612,31.8,2.4
198712,33.9,4.5
198812,31.0,1.6
198912,18.0,-11.4
199012,30.4,1.0
199112,33.5,4.1
199212,30.7,1.3
199312,31.4,2.0
199412,35.9,6.5
199512,28.2,-1.2
199612,30.5,1.1
199712,32.0,2.6
199812,35.1,5.7
199912,32.6,3.2
200012,17.6,-11.8
200112,35.8,6.4
200212,32.2,2.8
200312,33.8,4.4
200412,31.0,1.6
200512,26.0,-3.4
200612,35.3,5.9
200712,30.2,0.8
200812,26.8,-2.6
200912,29.1,-0.3
201012,24.0,-5.4
201112,35.9,6.5
201212,36.8,7.4
201312,26.2,-3.2
201412,33.9,4.5
201512,41.1,11.7
201612,28.9,-0.5
201712,29.8,0.4
201812,34.4,5.0
201912,35.6,6.2
202012,33.0,3.6
202112,40.2,10.8
