Illinois, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197602,38.0,8.8
197702,28.6,-0.6
197802,16.9,-12.3
197902,17.4,-11.8
198002,22.7,-6.5
198102,31.3,2.1
198202,24.6,-4.6
198302,34.2,5.0
198402,36.0,6.8
198502,24.4,-4.8
198602,28.3,-0.9
198702,35.6,6.4
198802,25.9,-3.3
198902,22.3,-6.9
199002,35.5,6.3
199102,34.2,5.0
199202,37.2,8.0
199302,27.0,-2.2
199402,27.1,-2.1
199502,29.8,0.6
199602,30.4,1.2
199702,33.6,4.4
199802,40.0,10.8
199902,37.4,8.2
200002,37.4,8.2
200102,30.9,1.7
200202,34.6,5.4
200302,26.4,-2.8
200402,30.0,0.8
200502,36.1,6.9
200602,30.9,1.7
200702,21.7,-7.5
200802,26.0,-3.2
200902,32.5,3.3
201002,25.7,-3.5
201102,30.2,1.0
201202,35.8,6.6
201302,29.9,0.7
201402,19.4,-9.8
201502,19.4,-9.8
201602,33.8,4.6
201702,41.1,11.9
201802,31.8,2.6
201902,29.3,0.1
202002,31.9,2.7
202102,20.8,-8.4
202202,28.0,-1.2
