Illinois, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197609,63.8,-2.4
197709,67.4,1.2
197809,70.1,3.9
197909,65.7,-0.5
198009,67.8,1.6
198109,64.5,-1.7
198209,64.7,-1.5
198309,67.0,0.8
198409,64.3,-1.9
198509,66.7,0.5
198609,69.2,3.0
198709,66.6,0.4
198809,67.6,1.4
198909,63.3,-2.9
199009,67.9,1.7
199109,66.4,0.2
199209,64.3,-1.9
199309,61.6,-4.6
199409,65.3,-0.9
199509,63.3,-2.9
199609,64.2,-2.0
199709,66.3,0.1
199809,70.9,4.7
199909,65.2,-1.0
200009,66.3,0.1
200109,64.4,-1.8
200209,69.3,3.1
200309,64.1,-2.1
200409,67.7,1.5
200509,70.7,4.5
200609,63.7,-2.5
200709,69.8,3.6
200809,67.1,0.9
200909,65.9,-0.3
201009,67.2,1.0
201109,63.6,-2.6
201209,64.9,-1.3
201309,68.6,2.4
201409,64.7,-1.5
201509,70.4,4.2
201609,70.8,4.6
201709,68.8,2.6
201809,70.3,4.1
201909,71.6,5.4
202009,65.6,-0.6
202109,69.6,3.4
