Indiana, Average Temperature, November
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197611,33.8,-7.3
197711,43.2,2.1
197811,44.0,2.9
197911,41.3,0.2
198011,40.0,-1.1
198111,42.8,1.7
198211,43.3,2.2
198311,44.3,3.2
198411,40.6,-0.5
198511,45.7,4.6
198611,39.1,-2.0
198711,45.8,4.7
198811,42.6,1.5
198911,40.7,-0.4
199011,46.6,5.5
199111,38.7,-2.4
199211,42.1,1.0
199311,41.0,-0.1
199411,46.9,5.8
199511,36.3,-4.8
199611,35.7,-5.4
199711,38.6,-2.5
199811,44.9,3.8
199911,47.8,6.7
200011,40.3,-0.8
200111,49.0,7.9
200211,39.9,-1.2
200311,46.0,4.9
200411,45.9,4.8
200511,44.6,3.5
200611,44.1,3.0
200711,41.9,0.8
200811,40.5,-0.6
200911,46.3,5.2
201011,42.8,1.7
201111,46.9,5.8
201211,40.0,-1.1
201311,39.2,-1.9
201411,35.6,-5.5
201511,46.6,5.5
201611,47.0,5.9
201711,42.4,1.3
201811,36.8,-4.3
201911,36.5,-4.6
202011,46.7,5.6
202111,40.0,-1.1
