Indiana, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197612,24.4,-5.9
197712,26.8,-3.5
197812,31.8,1.5
197912,33.9,3.6
198012,31.1,0.8
198112,27.6,-2.7
198212,39.8,9.5
198312,20.5,-9.8
198412,37.8,7.5
198512,23.0,-7.3
198612,31.9,1.6
198712,34.9,4.6
198812,30.7,0.4
198912,18.2,-12.1
199012,33.5,3.2
199112,34.4,4.1
199212,32.0,1.7
199312,31.3,1.0
199412,37.0,6.7
199512,27.3,-3.0
199612,33.0,2.7
199712,33.0,2.7
199812,36.4,6.1
199912,33.0,2.7
200012,19.2,-11.1
200112,36.9,6.6
200212,31.7,1.4
200312,33.5,3.2
200412,30.8,0.5
200512,26.7,-3.6
200612,37.3,7.0
200712,32.5,2.2
200812,29.1,-1.2
200912,30.4,0.1
201012,24.3,-6.0
201112,36.6,6.3
201212,38.2,7.9
201312,29.4,-0.9
201412,34.6,4.3
201512,42.5,12.2
201612,29.8,-0.5
201712,29.6,-0.7
201812,35.4,5.1
201912,36.2,5.9
202012,33.6,3.3
202112,40.6,10.3
