Indiana, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197603,46.2,6.7
197703,45.2,5.7
197803,33.0,-6.5
197903,41.2,1.7
198003,35.1,-4.4
198103,39.2,-0.3
198203,39.3,-0.2
198303,41.6,2.1
198403,31.9,-7.6
198503,43.8,4.3
198603,42.2,2.7
198703,43.4,3.9
198803,40.3,0.8
198903,40.7,1.2
199003,44.4,4.9
199103,43.2,3.7
199203,41.1,1.6
199303,37.0,-2.5
199403,39.6,0.1
199503,43.4,3.9
199603,34.1,-5.4
199703,42.3,2.8
199803,41.3,1.8
199903,36.7,-2.8
200003,45.4,5.9
200103,37.2,-2.3
200203,38.3,-1.2
200303,42.1,2.6
200403,44.3,4.8
200503,37.3,-2.2
200603,40.7,1.2
200703,47.0,7.5
200803,38.6,-0.9
200903,44.2,4.7
201003,43.6,4.1
201103,41.7,2.2
201203,55.0,15.5
201303,34.8,-4.7
201403,34.1,-5.4
201503,37.2,-2.3
201603,47.3,7.8
201703,42.6,3.1
201803,38.2,-1.3
201903,37.2,-2.3
202003,44.6,5.1
202103,45.8,6.3
202203,43.8,4.3
