Iowa, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197601,19.3,1.6
197701,6.2,-11.5
197801,8.0,-9.7
197901,4.6,-13.1
198001,20.4,2.7
198101,22.8,5.1
198201,7.3,-10.4
198301,23.3,5.6
198401,17.6,-0.1
198501,14.0,-3.7
198601,23.2,5.5
198701,24.4,6.7
198801,15.6,-2.1
198901,29.1,11.4
199001,29.7,12.0
199101,13.4,-4.3
199201,27.2,9.5
199301,17.6,-0.1
199401,10.5,-7.2
199501,18.3,0.6
199601,15.8,-1.9
199701,14.6,-3.1
199801,23.5,5.8
199901,17.0,-0.7
200001,21.6,3.9
200101,20.8,3.1
200201,28.6,10.9
200301,19.1,1.4
200401,17.7,0.0
200501,18.9,1.2
200601,32.4,14.7
200701,21.6,3.9
200801,16.6,-1.1
200901,13.2,-4.5
201001,13.6,-4.1
201101,14.8,-2.9
201201,26.5,8.8
201301,22.0,4.3
201401,14.2,-3.5
201501,21.6,3.9
201601,19.6,1.9
201701,24.2,6.5
201801,17.8,0.1
201901,18.7,1.0
202001,23.1,5.4
202101,23.9,6.2
202201,14.9,-2.8
