Iowa, Average Temperature, November
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197611,29.5,-6.2
197711,35.2,-0.5
197811,35.0,-0.7
197911,34.8,-0.9
198011,38.6,2.9
198111,39.7,4.0
198211,35.0,-0.7
198311,37.6,1.9
198411,37.4,1.7
198511,28.5,-7.2
198611,31.3,-4.4
198711,41.0,5.3
198811,37.4,1.7
198911,33.5,-2.2
199011,41.2,5.5
199111,28.2,-7.5
199211,33.0,-2.7
199311,33.8,-1.9
199411,39.4,3.7
199511,30.3,-5.4
199611,29.0,-6.7
199711,32.9,-2.8
199811,40.7,5.0
199911,44.3,8.6
200011,32.2,-3.5
200111,48.0,12.3
200211,34.7,-1.0
200311,35.9,0.2
200411,40.6,4.9
200511,39.6,3.9
200611,39.3,3.6
200711,37.2,1.5
200811,37.3,1.6
200911,43.4,7.7
201011,38.0,2.3
201111,39.4,3.7
201211,39.2,3.5
201311,33.9,-1.8
201411,29.3,-6.4
201511,42.0,6.3
201611,45.1,9.4
201711,36.2,0.5
201811,30.0,-5.7
201911,32.4,-3.3
202011,42.0,6.3
202111,39.2,3.5
