Iowa, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197612,17.6,-5.1
197712,19.7,-3.0
197812,19.3,-3.4
197912,29.0,6.3
198012,24.2,1.5
198112,21.6,-1.1
198212,28.7,6.0
198312,7.6,-15.1
198412,25.7,3.0
198512,11.4,-11.3
198612,26.0,3.3
198712,28.1,5.4
198812,25.4,2.7
198912,13.8,-8.9
199012,19.8,-2.9
199112,27.1,4.4
199212,24.0,1.3
199312,25.5,2.8
199412,27.0,4.3
199512,23.9,1.2
199612,19.6,-3.1
199712,27.4,4.7
199812,29.4,6.7
199912,27.0,4.3
200012,10.0,-12.7
200112,30.7,8.0
200212,28.9,6.2
200312,28.2,5.5
200412,26.6,3.9
200512,19.5,-3.2
200612,31.1,8.4
200712,20.3,-2.4
200812,17.6,-5.1
200912,19.8,-2.9
201012,19.1,-3.6
201112,29.1,6.4
201212,27.7,5.0
201312,17.4,-5.3
201412,28.2,5.5
201512,33.0,10.3
201612,22.9,0.2
201712,24.4,1.7
201812,28.0,5.3
201912,29.2,6.5
202012,27.2,4.5
202112,31.9,9.2
