Iowa, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197603,37.0,2.4
197703,41.6,7.0
197803,30.9,-3.7
197903,31.8,-2.8
198003,31.8,-2.8
198103,39.5,4.9
198203,32.8,-1.8
198303,35.9,1.3
198403,28.3,-6.3
198503,40.1,5.5
198603,39.9,5.3
198703,40.4,5.8
198803,37.8,3.2
198903,33.7,-0.9
199003,39.6,5.0
199103,39.2,4.6
199203,39.0,4.4
199303,31.0,-3.6
199403,38.0,3.4
199503,37.0,2.4
199603,29.9,-4.7
199703,37.2,2.6
199803,32.8,-1.8
199903,36.3,1.7
200003,43.1,8.5
200103,30.2,-4.4
200203,31.0,-3.6
200303,35.1,0.5
200403,40.8,6.2
200503,36.0,1.4
200603,36.5,1.9
200703,41.8,7.2
200803,32.6,-2.0
200903,37.1,2.5
201003,38.4,3.8
201103,35.1,0.5
201203,51.6,17.0
201303,29.0,-5.6
201403,29.7,-4.9
201503,37.3,2.7
201603,42.4,7.8
201703,37.5,2.9
201803,35.2,0.6
201903,31.1,-3.5
202003,40.3,5.7
202103,42.3,7.7
202203,37.2,2.6
