Iowa, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197604,52.2,4.1
197704,55.0,6.9
197804,48.2,0.1
197904,44.6,-3.5
198004,49.3,1.2
198104,54.4,6.3
198204,44.3,-3.8
198304,42.6,-5.5
198404,46.4,-1.7
198504,53.6,5.5
198604,51.9,3.8
198704,52.9,4.8
198804,48.5,0.4
198904,49.3,1.2
199004,48.1,0.0
199104,51.4,3.3
199204,46.0,-2.1
199304,45.0,-3.1
199404,49.2,1.1
199504,44.8,-3.3
199604,45.7,-2.4
199704,44.3,-3.8
199804,49.7,1.6
199904,50.0,1.9
200004,49.4,1.3
200104,52.7,4.6
200204,48.9,0.8
200304,50.4,2.3
200404,51.1,3.0
200504,53.4,5.3
200604,53.8,5.7
200704,46.7,-1.4
200804,46.0,-2.1
200904,47.0,-1.1
201004,55.2,7.1
201104,47.6,-0.5
201204,52.4,4.3
201304,43.8,-4.3
201404,47.5,-0.6
201504,51.1,3.0
201604,50.1,2.0
201704,51.1,3.0
201804,39.3,-8.8
201904,49.2,1.1
202004,46.7,-1.4
202104,49.3,1.2
