Iowa, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197605,57.6,-2.2
197705,67.1,7.3
197805,59.6,-0.2
197905,58.7,-1.1
198005,61.2,1.4
198105,57.8,-2.0
198205,62.4,2.6
198305,55.9,-3.9
198405,56.9,-2.9
198505,63.2,3.4
198605,60.9,1.1
198705,65.3,5.5
198805,65.2,5.4
198905,59.1,-0.7
199005,56.4,-3.4
199105,64.2,4.4
199205,60.1,0.3
199305,59.2,-0.6
199405,60.6,0.8
199505,56.5,-3.3
199605,56.4,-3.4
199705,54.2,-5.6
199805,65.0,5.2
199905,60.5,0.7
200005,62.8,3.0
200105,60.9,1.1
200205,56.8,-3.0
200305,57.9,-1.9
200405,60.7,0.9
200505,57.8,-2.0
200605,60.6,0.8
200705,64.7,4.9
200805,57.4,-2.4
200905,59.8,0.0
201005,59.9,0.1
201105,59.1,-0.7
201205,65.0,5.2
201305,59.0,-0.8
201405,60.0,0.2
201505,60.0,0.2
201605,59.5,-0.3
201705,58.5,-1.3
201805,67.0,7.2
201905,56.6,-3.2
202005,57.6,-2.2
202105,59.0,-0.8
