Iowa, Average Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197607,74.5,0.6
197707,76.6,2.7
197807,72.7,-1.2
197907,72.2,-1.7
198007,76.7,2.8
198107,73.3,-0.6
198207,74.1,0.2
198307,77.2,3.3
198407,72.2,-1.7
198507,72.7,-1.2
198607,75.3,1.4
198707,76.3,2.4
198807,75.5,1.6
198907,75.0,1.1
199007,72.3,-1.6
199107,73.6,-0.3
199207,68.3,-5.6
199307,71.9,-2.0
199407,70.3,-3.6
199507,73.9,0.0
199607,70.5,-3.4
199707,73.4,-0.5
199807,73.8,-0.1
199907,76.8,2.9
200007,72.2,-1.7
200107,75.1,1.2
200207,76.5,2.6
200307,73.1,-0.8
200407,70.5,-3.4
200507,74.7,0.8
200607,75.9,2.0
200707,73.7,-0.2
200807,73.1,-0.8
200907,68.0,-5.9
201007,74.6,0.7
201107,78.0,4.1
201207,79.6,5.7
201307,72.3,-1.6
201407,68.8,-5.1
201507,72.0,-1.9
201607,72.8,-1.1
201707,74.7,0.8
201807,73.1,-0.8
201907,75.1,1.2
202007,75.3,1.4
202107,73.4,-0.5
