Iowa, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197608,71.0,-0.4
197708,68.4,-3.0
197808,71.2,-0.2
197908,70.9,-0.5
198008,73.3,1.9
198108,69.6,-1.8
198208,70.0,-1.4
198308,78.1,6.7
198408,73.4,2.0
198508,67.9,-3.5
198608,67.0,-4.4
198708,69.9,-1.5
198808,75.8,4.4
198908,71.2,-0.2
199008,71.7,0.3
199108,71.6,0.2
199208,65.7,-5.7
199308,71.6,0.2
199408,68.6,-2.8
199508,76.2,4.8
199608,70.0,-1.4
199708,69.5,-1.9
199808,72.9,1.5
199908,70.0,-1.4
200008,72.7,1.3
200108,72.5,1.1
200208,70.9,-0.5
200308,74.1,2.7
200408,66.2,-5.2
200508,71.5,0.1
200608,72.1,0.7
200708,74.2,2.8
200808,69.9,-1.5
200908,68.3,-3.1
201008,74.4,3.0
201108,72.0,0.6
201208,71.0,-0.4
201308,71.9,0.5
201408,71.2,-0.2
201508,68.9,-2.5
201608,72.0,0.6
201708,67.8,-3.6
201808,71.8,0.4
201908,69.6,-1.8
202008,71.9,0.5
202108,72.9,1.5
