Kansas, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197601,30.8,2.2
197701,21.0,-7.6
197801,19.1,-9.5
197901,15.0,-13.6
198001,28.9,0.3
198101,33.1,4.5
198201,24.6,-4.0
198301,31.0,2.4
198401,26.8,-1.8
198501,23.4,-5.2
198601,37.8,9.2
198701,31.0,2.4
198801,25.4,-3.2
198901,36.2,7.6
199001,36.1,7.5
199101,26.0,-2.6
199201,36.4,7.8
199301,24.8,-3.8
199401,28.8,0.2
199501,31.2,2.6
199601,27.0,-1.6
199701,28.6,0.0
199801,32.6,4.0
199901,31.7,3.1
200001,33.3,4.7
200101,31.0,2.4
200201,33.8,5.2
200301,31.8,3.2
200401,30.4,1.8
200501,29.9,1.3
200601,41.3,12.7
200701,27.0,-1.6
200801,30.0,1.4
200901,31.4,2.8
201001,27.2,-1.4
201101,27.3,-1.3
201201,36.1,7.5
201301,32.3,3.7
201401,29.6,1.0
201501,32.1,3.5
201601,32.0,3.4
201701,33.0,4.4
201801,29.9,1.3
201901,31.3,2.7
202001,34.0,5.4
202101,34.0,5.4
202201,29.8,1.2
