Kansas, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197612,32.4,0.9
197712,32.5,1.0
197812,29.7,-1.8
197912,36.2,4.7
198012,35.7,4.2
198112,32.3,0.8
198212,34.6,3.1
198312,16.0,-15.5
198412,34.1,2.6
198512,27.0,-4.5
198612,34.0,2.5
198712,33.4,1.9
198812,36.3,4.8
198912,25.0,-6.5
199012,28.0,-3.5
199112,36.3,4.8
199212,29.5,-2.0
199312,35.5,4.0
199412,36.0,4.5
199512,32.5,1.0
199612,32.1,0.6
199712,32.2,0.7
199812,34.5,3.0
199912,36.8,5.3
200012,24.2,-7.3
200112,36.9,5.4
200212,35.5,4.0
200312,35.3,3.8
200412,35.7,4.2
200512,30.8,-0.7
200612,35.9,4.4
200712,29.3,-2.2
200812,29.9,-1.6
200912,26.5,-5.0
201012,32.3,0.8
201112,33.1,1.6
201212,34.6,3.1
201312,29.2,-2.3
201412,34.6,3.1
201512,37.6,6.1
201612,29.8,-1.7
201712,33.6,2.1
201812,34.3,2.8
201912,36.7,5.2
202012,35.9,4.4
202112,41.1,9.6
