Kansas, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197603,43.9,1.5
197703,46.3,3.9
197803,41.2,-1.2
197903,43.6,1.2
198003,38.8,-3.6
198103,45.3,2.9
198203,43.2,0.8
198303,41.8,-0.6
198403,38.5,-3.9
198503,46.5,4.1
198603,49.8,7.4
198703,43.8,1.4
198803,43.1,0.7
198903,43.8,1.4
199003,45.3,2.9
199103,46.8,4.4
199203,47.8,5.4
199303,41.0,-1.4
199403,47.2,4.8
199503,43.3,0.9
199603,37.8,-4.6
199703,46.6,4.2
199803,38.2,-4.2
199903,42.8,0.4
200003,46.3,3.9
200103,41.1,-1.3
200203,39.2,-3.2
200303,44.2,1.8
200403,49.2,6.8
200503,44.7,2.3
200603,45.6,3.2
200703,52.3,9.9
200803,43.2,0.8
200903,44.4,2.0
201003,44.2,1.8
201103,44.1,1.7
201203,55.5,13.1
201303,40.3,-2.1
201403,40.6,-1.8
201503,46.8,4.4
201603,49.7,7.3
201703,48.9,6.5
201803,45.9,3.5
201903,39.4,-3.0
202003,47.9,5.5
202103,48.1,5.7
202203,44.0,1.6
