Kentucky, Average Temperature, October
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197610,50.4,-6.6
197710,53.2,-3.8
197810,53.9,-3.1
197910,55.6,-1.4
198010,53.8,-3.2
198110,55.0,-2.0
198210,57.4,0.4
198310,58.4,1.4
198410,62.6,5.6
198510,60.6,3.6
198610,58.2,1.2
198710,51.0,-6.0
198810,50.0,-7.0
198910,56.7,-0.3
199010,56.0,-1.0
199110,58.4,1.4
199210,55.0,-2.0
199310,54.5,-2.5
199410,57.0,0.0
199510,57.2,0.2
199610,57.0,0.0
199710,56.2,-0.8
199810,59.2,2.2
199910,56.8,-0.2
200010,59.6,2.6
200110,56.1,-0.9
200210,57.4,0.4
200310,56.7,-0.3
200410,60.0,3.0
200510,57.9,0.9
200610,54.2,-2.8
200710,62.4,5.4
200810,56.7,-0.3
200910,53.8,-3.2
201010,58.2,1.2
201110,55.6,-1.4
201210,55.2,-1.8
201310,57.6,0.6
201410,57.6,0.6
201510,57.8,0.8
201610,62.7,5.7
201710,59.4,2.4
201810,58.9,1.9
201910,60.0,3.0
202010,57.8,0.8
202110,62.5,5.5
