Kentucky, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197612,31.8,-4.4
197712,33.8,-2.4
197812,37.4,1.2
197912,37.9,1.7
198012,36.8,0.6
198112,33.2,-3.0
198212,43.9,7.7
198312,29.1,-7.1
198412,44.9,8.7
198512,30.4,-5.8
198612,36.2,0.0
198712,39.2,3.0
198812,37.0,0.8
198912,24.9,-11.3
199012,40.2,4.0
199112,40.3,4.1
199212,36.5,0.3
199312,35.9,-0.3
199412,41.1,4.9
199512,33.9,-2.3
199612,40.3,4.1
199712,36.6,0.4
199812,40.7,4.5
199912,38.7,2.5
200012,26.7,-9.5
200112,41.8,5.6
200212,36.5,0.3
200312,37.0,0.8
200412,36.4,0.2
200512,33.3,-2.9
200612,41.6,5.4
200712,40.7,4.5
200812,36.7,0.5
200912,35.6,-0.6
201012,29.0,-7.2
201112,41.0,4.8
201212,43.0,6.8
201312,37.4,1.2
201412,39.7,3.5
201512,48.7,12.5
201612,37.0,0.8
201712,35.8,-0.4
201812,40.5,4.3
201912,42.1,5.9
202012,37.3,1.1
202112,47.6,11.4
