Kentucky, Average Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197607,73.4,-2.9
197707,77.7,1.4
197807,76.1,-0.2
197907,73.6,-2.7
198007,78.7,2.4
198107,76.4,0.1
198207,76.4,0.1
198307,78.1,1.8
198407,73.4,-2.9
198507,75.4,-0.9
198607,78.8,2.5
198707,76.8,0.5
198807,77.4,1.1
198907,75.5,-0.8
199007,75.4,-0.9
199107,77.4,1.1
199207,75.9,-0.4
199307,79.3,3.0
199407,75.6,-0.7
199507,76.8,0.5
199607,73.8,-2.5
199707,76.3,0.0
199807,76.0,-0.3
199907,79.5,3.2
200007,74.5,-1.8
200107,75.7,-0.6
200207,78.3,2.0
200307,75.2,-1.1
200407,74.3,-2.0
200507,77.4,1.1
200607,76.7,0.4
200707,74.6,-1.7
200807,75.2,-1.1
200907,71.8,-4.5
201007,78.4,2.1
201107,79.5,3.2
201207,80.5,4.2
201307,74.0,-2.3
201407,72.6,-3.7
201507,76.5,0.2
201607,77.9,1.6
201707,76.9,0.6
201807,76.6,0.3
201907,77.4,1.1
202007,78.7,2.4
202107,75.9,-0.4
