Louisiana, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197601,46.9,-2.4
197701,39.3,-10.0
197801,39.8,-9.5
197901,41.2,-8.1
198001,51.1,1.8
198101,44.9,-4.4
198201,49.3,0.0
198301,46.7,-2.6
198401,43.5,-5.8
198501,42.6,-6.7
198601,49.3,0.0
198701,46.6,-2.7
198801,44.5,-4.8
198901,54.9,5.6
199001,53.8,4.5
199101,47.7,-1.6
199201,48.2,-1.1
199301,50.8,1.5
199401,47.0,-2.3
199501,50.4,1.1
199601,49.0,-0.3
199701,49.2,-0.1
199801,53.3,4.0
199901,54.1,4.8
200001,52.6,3.3
200101,45.6,-3.7
200201,51.4,2.1
200301,45.6,-3.7
200401,50.2,0.9
200501,53.9,4.6
200601,55.4,6.1
200701,49.6,0.3
200801,48.4,-0.9
200901,50.5,1.2
201001,45.6,-3.7
201101,46.9,-2.4
201201,55.2,5.9
201301,52.5,3.2
201401,43.4,-5.9
201501,47.2,-2.1
201601,48.8,-0.5
201701,56.8,7.5
201801,44.2,-5.1
201901,49.9,0.6
202001,53.7,4.4
202101,50.6,1.3
202201,48.1,-1.2
