Louisiana, Average Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197607,80.2,-1.7
197707,82.8,0.9
197807,83.0,1.1
197907,81.6,-0.3
198007,84.7,2.8
198107,83.2,1.3
198207,82.2,0.3
198307,82.3,0.4
198407,80.4,-1.5
198507,81.1,-0.8
198607,83.1,1.2
198707,81.5,-0.4
198807,81.4,-0.5
198907,80.3,-1.6
199007,81.2,-0.7
199107,82.0,0.1
199207,81.8,-0.1
199307,82.8,0.9
199407,80.6,-1.3
199507,82.5,0.6
199607,82.1,0.2
199707,82.9,1.0
199807,85.4,3.5
199907,82.1,0.2
200007,83.2,1.3
200107,82.4,0.5
200207,82.3,0.4
200307,81.3,-0.6
200407,81.4,-0.5
200507,82.5,0.6
200607,82.2,0.3
200707,80.2,-1.7
200807,82.9,1.0
200907,82.6,0.7
201007,83.4,1.5
201107,84.1,2.2
201207,82.3,0.4
201307,80.7,-1.2
201407,80.0,-1.9
201507,84.2,2.3
201607,83.7,1.8
201707,82.4,0.5
201807,83.5,1.6
201907,81.8,-0.1
202007,82.8,0.9
202107,81.8,-0.1
