Maine, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197602,19.0,4.1
197702,16.0,1.1
197802,12.7,-2.2
197902,10.6,-4.3
198002,14.5,-0.4
198102,26.8,11.9
198202,14.0,-0.9
198302,19.4,4.5
198402,25.4,10.5
198502,19.4,4.5
198602,15.5,0.6
198702,15.0,0.1
198802,17.1,2.2
198902,15.0,0.1
199002,16.4,1.5
199102,20.0,5.1
199202,16.2,1.3
199302,7.1,-7.8
199402,11.4,-3.5
199502,13.0,-1.9
199602,16.9,2.0
199702,18.2,3.3
199802,24.2,9.3
199902,21.4,6.5
200002,18.2,3.3
200102,16.0,1.1
200202,20.4,5.5
200302,12.2,-2.7
200402,18.0,3.1
200502,19.6,4.7
200602,19.0,4.1
200702,11.6,-3.3
200802,18.5,3.6
200902,18.9,4.0
201002,24.6,9.7
201102,16.2,1.3
201202,21.4,6.5
201302,20.0,5.1
201402,15.7,0.8
201502,5.2,-9.7
201602,21.9,7.0
201702,20.6,5.7
201802,22.7,7.8
201902,16.3,1.4
202002,20.1,5.2
202102,18.5,3.6
202202,19.4,4.5
