Maine, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197603,25.7,-0.2
197703,33.2,7.3
197803,23.0,-2.9
197903,32.4,6.5
198003,25.6,-0.3
198103,29.8,3.9
198203,25.2,-0.7
198303,30.2,4.3
198403,20.9,-5.0
198503,26.6,0.7
198603,27.0,1.1
198703,28.9,3.0
198803,26.0,0.1
198903,22.7,-3.2
199003,27.2,1.3
199103,29.2,3.3
199203,23.0,-2.9
199303,24.6,-1.3
199403,27.1,1.2
199503,28.5,2.6
199603,25.4,-0.5
199703,22.8,-3.1
199803,29.6,3.7
199903,31.0,5.1
200003,32.6,6.7
200103,24.2,-1.7
200203,26.9,1.0
200303,24.2,-1.7
200403,28.7,2.8
200503,25.0,-0.9
200603,29.0,3.1
200703,25.8,-0.1
200803,23.1,-2.8
200903,26.2,0.3
201003,34.6,8.7
201103,26.8,0.9
201203,34.3,8.4
201303,30.3,4.4
201403,18.1,-7.8
201503,21.6,-4.3
201603,29.2,3.3
201703,22.2,-3.7
201803,28.9,3.0
201903,24.7,-1.2
202003,29.6,3.7
202103,29.4,3.5
202203,28.8,2.9
