Maine, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197606,63.8,4.0
197706,58.2,-1.6
197806,60.3,0.5
197906,60.9,1.1
198006,58.4,-1.4
198106,60.8,1.0
198206,57.8,-2.0
198306,61.9,2.1
198406,60.1,0.3
198506,58.0,-1.8
198606,57.3,-2.5
198706,60.7,0.9
198806,59.6,-0.2
198906,60.8,1.0
199006,61.0,1.2
199106,61.6,1.8
199206,60.3,0.5
199306,59.8,0.0
199406,63.2,3.4
199506,62.6,2.8
199606,61.2,1.4
199706,60.7,0.9
199806,59.7,-0.1
199906,64.8,5.0
200006,59.4,-0.4
200106,63.0,3.2
200206,58.3,-1.5
200306,61.2,1.4
200406,57.5,-2.3
200506,63.2,3.4
200606,63.3,3.5
200706,61.1,1.3
200806,61.2,1.4
200906,58.7,-1.1
201006,60.8,1.0
201106,60.2,0.4
201206,60.2,0.4
201306,60.8,1.0
201406,61.6,1.8
201506,57.5,-2.3
201606,60.5,0.7
201706,61.0,1.2
201806,59.0,-0.8
201906,59.5,-0.3
202006,62.5,2.7
202106,64.8,5.0
