Maine, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197609,54.4,-0.5
197709,53.0,-1.9
197809,51.2,-3.7
197909,54.7,-0.2
198009,53.1,-1.8
198109,54.1,-0.8
198209,55.8,0.9
198309,58.4,3.5
198409,53.3,-1.6
198509,56.4,1.5
198609,52.0,-2.9
198709,55.0,0.1
198809,54.0,-0.9
198909,55.9,1.0
199009,54.9,0.0
199109,53.1,-1.8
199209,55.9,1.0
199309,55.1,0.2
199409,54.3,-0.6
199509,52.2,-2.7
199609,55.9,1.0
199709,54.9,0.0
199809,56.7,1.8
199909,61.7,6.8
200009,54.5,-0.4
200109,57.7,2.8
200209,59.3,4.4
200309,58.4,3.5
200409,56.2,1.3
200509,58.5,3.6
200609,56.1,1.2
200709,57.2,2.3
200809,56.2,1.3
200909,54.9,0.0
201009,58.3,3.4
201109,59.0,4.1
201209,55.9,1.0
201309,56.7,1.8
201409,56.4,1.5
201509,61.8,6.9
201609,59.1,4.2
201709,61.1,6.2
201809,57.9,3.0
201909,55.3,0.4
202009,56.8,1.9
202109,59.0,4.1
