Maryland, Average Temperature, October
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197610,51.3,-4.5
197710,53.8,-2.0
197810,54.2,-1.6
197910,54.4,-1.4
198010,54.0,-1.8
198110,52.8,-3.0
198210,55.9,0.1
198310,56.6,0.8
198410,61.6,5.8
198510,58.6,2.8
198610,57.8,2.0
198710,51.2,-4.6
198810,50.7,-5.1
198910,57.2,1.4
199010,59.6,3.8
199110,56.9,1.1
199210,53.1,-2.7
199310,54.7,-1.1
199410,54.6,-1.2
199510,59.0,3.2
199610,56.0,0.2
199710,55.9,0.1
199810,57.0,1.2
199910,54.8,-1.0
200010,57.2,1.4
200110,56.5,0.7
200210,56.3,0.5
200310,54.7,-1.1
200410,55.7,-0.1
200510,57.8,2.0
200610,55.0,-0.8
200710,63.3,7.5
200810,55.2,-0.6
200910,55.4,-0.4
201010,57.8,2.0
201110,55.9,0.1
201210,57.5,1.7
201310,58.1,2.3
201410,58.2,2.4
201510,55.6,-0.2
201610,59.4,3.6
201710,61.2,5.4
201810,59.0,3.2
201910,60.3,4.5
202010,59.0,3.2
202110,63.0,7.2
