Maryland, Average Temperature, November
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197611,39.2,-5.6
197711,47.0,2.2
197811,46.9,2.1
197911,49.2,4.4
198011,42.5,-2.3
198111,45.0,0.2
198211,48.0,3.2
198311,46.4,1.6
198411,43.4,-1.4
198511,51.7,6.9
198611,44.0,-0.8
198711,47.6,2.8
198811,46.2,1.4
198911,44.8,0.0
199011,48.4,3.6
199111,45.5,0.7
199211,45.9,1.1
199311,45.6,0.8
199411,50.1,5.3
199511,40.9,-3.9
199611,40.4,-4.4
199711,43.2,-1.6
199811,46.7,1.9
199911,50.7,5.9
200011,43.3,-1.5
200111,50.8,6.0
200211,44.7,-0.1
200311,50.6,5.8
200411,48.3,3.5
200511,48.5,3.7
200611,49.1,4.3
200711,45.6,0.8
200811,44.4,-0.4
200911,49.6,4.8
201011,46.1,1.3
201111,49.5,4.7
201211,42.6,-2.2
201311,43.3,-1.5
201411,42.7,-2.1
201511,50.5,5.7
201611,47.7,2.9
201711,45.8,1.0
201811,43.4,-1.4
201911,42.6,-2.2
202011,50.9,6.1
202111,44.5,-0.3
