Maryland, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197606,72.4,1.8
197706,68.4,-2.2
197806,70.4,-0.2
197906,67.6,-3.0
198006,68.7,-1.9
198106,72.5,1.9
198206,68.5,-2.1
198306,70.7,0.1
198406,72.2,1.6
198506,69.2,-1.4
198606,72.4,1.8
198706,73.4,2.8
198806,71.2,0.6
198906,73.2,2.6
199006,71.3,0.7
199106,72.4,1.8
199206,68.0,-2.6
199306,71.0,0.4
199406,74.3,3.7
199506,71.2,0.6
199606,72.4,1.8
199706,69.3,-1.3
199806,70.6,0.0
199906,71.3,0.7
200006,72.4,1.8
200106,72.4,1.8
200206,73.0,2.4
200306,69.5,-1.1
200406,70.8,0.2
200506,72.8,2.2
200606,71.6,1.0
200706,72.6,2.0
200806,74.3,3.7
200906,71.0,0.4
201006,76.2,5.6
201106,74.0,3.4
201206,71.7,1.1
201306,72.7,2.1
201406,72.3,1.7
201506,73.0,2.4
201606,72.2,1.6
201706,72.6,2.0
201806,72.1,1.5
201906,72.5,1.9
202006,72.7,2.1
202106,73.2,2.6
