Maryland, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197608,71.5,-1.7
197708,75.0,1.8
197808,76.1,2.9
197908,73.3,0.1
198008,76.3,3.1
198108,71.5,-1.7
198208,70.8,-2.4
198308,75.9,2.7
198408,74.2,1.0
198508,73.1,-0.1
198608,71.9,-1.3
198708,74.8,1.6
198808,77.0,3.8
198908,73.2,0.0
199008,73.1,-0.1
199108,75.7,2.5
199208,70.7,-2.5
199308,75.3,2.1
199408,71.6,-1.6
199508,76.4,3.2
199608,72.6,-0.6
199708,72.7,-0.5
199808,75.1,1.9
199908,75.0,1.8
200008,72.6,-0.6
200108,76.0,2.8
200208,77.2,4.0
200308,76.1,2.9
200408,73.5,0.3
200508,77.0,3.8
200608,76.9,3.7
200708,76.3,3.1
200808,72.6,-0.6
200908,76.2,3.0
201008,76.4,3.2
201108,75.1,1.9
201208,75.8,2.6
201308,72.4,-0.8
201408,71.7,-1.5
201508,73.9,0.7
201608,78.0,4.8
201708,72.8,-0.4
201808,77.1,3.9
201908,75.6,2.4
202008,76.6,3.4
202108,77.2,4.0
