Massachusetts, Average Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197612,22.3,-5.8
197712,26.8,-1.3
197812,29.2,1.1
197912,32.5,4.4
198012,23.7,-4.4
198112,28.2,0.1
198212,34.9,6.8
198312,27.4,-0.7
198412,34.4,6.3
198512,25.8,-2.3
198612,31.2,3.1
198712,31.6,3.5
198812,27.6,-0.5
198912,15.8,-12.3
199012,35.0,6.9
199112,31.1,3.0
199212,29.8,1.7
199312,29.5,1.4
199412,33.9,5.8
199512,25.1,-3.0
199612,34.9,6.8
199712,31.0,2.9
199812,35.6,7.5
199912,32.8,4.7
200012,25.0,-3.1
200112,35.9,7.8
200212,28.5,0.4
200312,31.4,3.3
200412,30.0,1.9
200512,28.0,-0.1
200612,37.0,8.9
200712,28.4,0.3
200812,31.4,3.3
200912,29.0,0.9
201012,27.8,-0.3
201112,35.8,7.7
201212,34.7,6.6
201312,29.4,1.3
201412,34.7,6.6
201512,41.8,13.7
201612,31.0,2.9
201712,26.6,-1.5
201812,32.1,4.0
201912,30.5,2.4
202012,33.1,5.0
202112,35.8,7.7
