Arizona, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197609,69.8,-2.2
197709,73.1,1.1
197809,71.4,-0.6
197909,75.3,3.3
198009,72.6,0.6
198109,72.8,0.8
198209,72.0,0.0
198309,74.8,2.8
198409,73.4,1.4
198509,67.7,-4.3
198609,68.0,-4.0
198709,71.3,-0.7
198809,70.4,-1.6
198909,73.1,1.1
199009,73.1,1.1
199109,72.3,0.3
199209,73.3,1.3
199309,71.8,-0.2
199409,73.7,1.7
199509,74.6,2.6
199609,70.3,-1.7
199709,75.0,3.0
199809,73.6,1.6
199909,72.6,0.6
200009,74.9,2.9
200109,75.6,3.6
200209,73.6,1.6
200309,74.8,2.8
200409,71.8,-0.2
200509,73.4,1.4
200609,69.8,-2.2
200709,73.8,1.8
200809,73.6,1.6
200909,74.1,2.1
201009,75.4,3.4
201109,74.6,2.6
201209,73.7,1.7
201309,72.4,0.4
201409,74.2,2.2
201509,75.0,3.0
201609,71.6,-0.4
201709,72.4,0.4
201809,76.0,4.0
201909,73.8,1.8
202009,75.6,3.6
202109,74.7,2.7
