Michigan, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197605,51.1,-2.5
197705,60.9,7.3
197805,55.8,2.2
197905,52.0,-1.6
198005,56.2,2.6
198105,52.2,-1.4
198205,59.6,6.0
198305,49.2,-4.4
198405,50.5,-3.1
198505,56.5,2.9
198605,56.6,3.0
198705,57.9,4.3
198805,57.3,3.7
198905,53.4,-0.2
199005,51.5,-2.1
199105,60.0,6.4
199205,54.5,0.9
199305,53.9,0.3
199405,52.8,-0.8
199505,53.3,-0.3
199605,51.2,-2.4
199705,47.4,-6.2
199805,60.4,6.8
199905,57.7,4.1
200005,56.6,3.0
200105,57.2,3.6
200205,49.7,-3.9
200305,52.8,-0.8
200405,53.8,0.2
200505,52.0,-1.6
200605,56.1,2.5
200705,57.8,4.2
200805,51.2,-2.4
200905,53.7,0.1
201005,58.3,4.7
201105,55.0,1.4
201205,59.0,5.4
201305,56.5,2.9
201405,54.6,1.0
201505,57.2,3.6
201605,55.4,1.8
201705,53.0,-0.6
201805,60.2,6.6
201905,51.8,-1.8
202005,53.2,-0.4
202105,54.1,0.5
