Michigan, Average Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197607,67.9,-0.2
197707,70.1,2.0
197807,66.4,-1.7
197907,67.3,-0.8
198007,68.5,0.4
198107,68.0,-0.1
198207,68.6,0.5
198307,72.2,4.1
198407,66.9,-1.2
198507,66.8,-1.3
198607,69.4,1.3
198707,71.4,3.3
198807,71.5,3.4
198907,69.5,1.4
199007,67.3,-0.8
199107,68.7,0.6
199207,63.0,-5.1
199307,69.1,1.0
199407,67.5,-0.6
199507,69.4,1.3
199607,64.8,-3.3
199707,67.4,-0.7
199807,68.8,0.7
199907,71.8,3.7
200007,66.1,-2.0
200107,68.4,0.3
200207,72.4,4.3
200307,67.8,-0.3
200407,66.4,-1.7
200507,70.4,2.3
200607,71.4,3.3
200707,68.0,-0.1
200807,68.3,0.2
200907,63.5,-4.6
201007,71.4,3.3
201107,72.7,4.6
201207,73.5,5.4
201307,68.8,0.7
201407,64.8,-3.3
201507,67.9,-0.2
201607,70.3,2.2
201707,68.5,0.4
201807,70.5,2.4
201907,70.9,2.8
202007,72.5,4.4
202107,68.7,0.6
