Michigan, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197609,56.7,-1.8
197709,58.9,0.4
197809,60.8,2.3
197909,59.3,0.8
198009,58.0,-0.5
198109,56.2,-2.3
198209,57.6,-0.9
198309,60.2,1.7
198409,56.6,-1.9
198509,59.9,1.4
198609,58.8,0.3
198709,59.8,1.3
198809,58.6,0.1
198909,57.8,-0.7
199009,58.9,0.4
199109,56.8,-1.7
199209,57.1,-1.4
199309,54.0,-4.5
199409,60.6,2.1
199509,56.4,-2.1
199609,59.5,1.0
199709,58.5,0.0
199809,62.6,4.1
199909,59.7,1.2
200009,58.0,-0.5
200109,57.7,-0.8
200209,63.3,4.8
200309,59.5,1.0
200409,63.3,4.8
200509,63.7,5.2
200609,57.3,-1.2
200709,61.8,3.3
200809,60.6,2.1
200909,60.8,2.3
201009,58.1,-0.4
201109,58.7,0.2
201209,58.4,-0.1
201309,59.5,1.0
201409,58.8,0.3
201509,64.6,6.1
201609,63.5,5.0
201709,62.6,4.1
201809,62.4,3.9
201909,62.3,3.8
202009,58.2,-0.3
202109,61.4,2.9
