Minnesota, Average Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197602,21.8,9.7
197702,17.5,5.4
197802,6.3,-5.8
197902,2.8,-9.3
198002,10.8,-1.3
198102,19.2,7.1
198202,10.8,-1.3
198302,21.2,9.1
198402,24.3,12.2
198502,10.4,-1.7
198602,11.3,-0.8
198702,27.2,15.1
198802,7.6,-4.5
198902,3.6,-8.5
199002,16.6,4.5
199102,20.4,8.3
199202,22.5,10.4
199302,11.6,-0.5
199402,6.3,-5.8
199502,12.8,0.7
199602,12.0,-0.1
199702,15.0,2.9
199802,28.8,16.7
199902,23.2,11.1
200002,22.8,10.7
200102,6.7,-5.4
200202,23.8,11.7
200302,9.9,-2.2
200402,16.7,4.6
200502,20.3,8.2
200602,12.7,0.6
200702,7.7,-4.4
200802,9.4,-2.7
200902,15.0,2.9
201002,12.8,0.7
201102,13.2,1.1
201202,22.4,10.3
201302,13.0,0.9
201402,3.8,-8.3
201502,5.6,-6.5
201602,19.9,7.8
201702,23.9,11.8
201802,8.6,-3.5
201902,5.3,-6.8
202002,14.0,1.9
202102,6.6,-5.5
202202,6.8,-5.3
