Minnesota, Average Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197605,54.3,0.1
197705,63.9,9.7
197805,57.4,3.2
197905,49.7,-4.5
198005,58.8,4.6
198105,54.1,-0.1
198205,57.5,3.3
198305,51.0,-3.2
198405,52.6,-1.6
198505,58.7,4.5
198605,56.4,2.2
198705,59.2,5.0
198805,61.4,7.2
198905,55.3,1.1
199005,52.3,-1.9
199105,58.6,4.4
199205,57.3,3.1
199305,53.6,-0.6
199405,57.0,2.8
199505,53.1,-1.1
199605,51.6,-2.6
199705,49.6,-4.6
199805,60.4,6.2
199905,56.8,2.6
200005,56.7,2.5
200105,56.6,2.4
200205,49.8,-4.4
200305,54.3,0.1
200405,51.2,-3.0
200505,52.4,-1.8
200605,56.8,2.6
200705,58.7,4.5
200805,51.5,-2.7
200905,53.4,-0.8
201005,56.0,1.8
201105,53.6,-0.6
201205,58.3,4.1
201305,53.2,-1.0
201405,54.3,0.1
201505,54.2,0.0
201605,56.7,2.5
201705,53.6,-0.6
201805,61.1,6.9
201905,50.5,-3.7
202005,53.5,-0.7
202105,55.1,0.9
