Minnesota, Average Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197607,70.2,1.4
197707,70.3,1.5
197807,67.6,-1.2
197907,68.6,-0.2
198007,70.2,1.4
198107,69.0,0.2
198207,69.6,0.8
198307,72.8,4.0
198407,68.5,-0.3
198507,67.7,-1.1
198607,69.8,1.0
198707,71.4,2.6
198807,72.5,3.7
198907,71.8,3.0
199007,67.6,-1.2
199107,68.2,-0.6
199207,61.8,-7.0
199307,66.0,-2.8
199407,66.2,-2.6
199507,68.4,-0.4
199607,66.4,-2.4
199707,68.0,-0.8
199807,69.0,0.2
199907,71.3,2.5
200007,68.6,-0.2
200107,70.4,1.6
200207,72.2,3.4
200307,68.8,0.0
200407,66.7,-2.1
200507,70.6,1.8
200607,73.1,4.3
200707,70.6,1.8
200807,68.4,-0.4
200907,64.1,-4.7
201007,70.4,1.6
201107,72.7,3.9
201207,74.3,5.5
201307,69.0,0.2
201407,66.7,-2.1
201507,69.5,0.7
201607,69.3,0.5
201707,69.2,0.4
201807,69.7,0.9
201907,70.4,1.6
202007,71.3,2.5
202107,71.1,2.3
