Minnesota, Average Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197608,68.9,2.6
197708,61.6,-4.7
197808,67.1,0.8
197908,64.1,-2.2
198008,66.1,-0.2
198108,66.9,0.6
198208,65.5,-0.8
198308,72.1,5.8
198408,70.0,3.7
198508,62.6,-3.7
198608,63.2,-3.1
198708,65.3,-1.0
198808,69.3,3.0
198908,67.5,1.2
199008,67.4,1.1
199108,68.8,2.5
199208,62.3,-4.0
199308,66.6,0.3
199408,63.9,-2.4
199508,69.5,3.2
199608,67.4,1.1
199708,64.9,-1.4
199808,68.9,2.6
199908,66.3,0.0
200008,67.6,1.3
200108,69.3,3.0
200208,66.5,0.2
200308,70.2,3.9
200408,60.9,-5.4
200508,66.4,0.1
200608,67.7,1.4
200708,66.5,0.2
200808,66.8,0.5
200908,64.2,-2.1
201008,70.2,3.9
201108,68.2,1.9
201208,66.7,0.4
201308,67.8,1.5
201408,67.1,0.8
201508,65.9,-0.4
201608,68.1,1.8
201708,64.0,-2.3
201808,67.4,1.1
201908,65.2,-1.1
202008,68.2,1.9
202108,69.4,3.1
