Minnesota, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197609,57.7,0.9
197709,56.8,0.0
197809,61.4,4.6
197909,58.8,2.0
198009,56.1,-0.7
198109,56.3,-0.5
198209,56.3,-0.5
198309,58.1,1.3
198409,53.2,-3.6
198509,54.8,-2.0
198609,55.7,-1.1
198709,58.5,1.7
198809,57.8,1.0
198909,57.1,0.3
199009,59.8,3.0
199109,55.8,-1.0
199209,55.6,-1.2
199309,51.6,-5.2
199409,59.9,3.1
199509,56.0,-0.8
199609,57.6,0.8
199709,59.9,3.1
199809,62.4,5.6
199909,56.4,-0.4
200009,56.6,-0.2
200109,57.4,0.6
200209,60.5,3.7
200309,57.9,1.1
200409,62.1,5.3
200509,61.6,4.8
200609,56.3,-0.5
200709,59.2,2.4
200809,58.7,1.9
200909,62.6,5.8
201009,55.0,-1.8
201109,57.5,0.7
201209,57.3,0.5
201309,61.5,4.7
201409,58.5,1.7
201509,63.8,7.0
201609,60.7,3.9
201709,60.8,4.0
201809,59.0,2.2
201909,60.2,3.4
202009,56.5,-0.3
202109,61.6,4.8
