Mississippi, Average Temperature, October
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197610,58.1,-6.3
197710,61.4,-3.0
197810,62.6,-1.8
197910,64.0,-0.4
198010,60.9,-3.5
198110,63.1,-1.3
198210,63.6,-0.8
198310,64.7,0.3
198410,69.2,4.8
198510,67.6,3.2
198610,64.5,0.1
198710,58.7,-5.7
198810,60.1,-4.3
198910,62.9,-1.5
199010,62.5,-1.9
199110,65.2,0.8
199210,63.3,-1.1
199310,63.0,-1.4
199410,64.7,0.3
199510,63.8,-0.6
199610,64.0,-0.4
199710,63.7,-0.7
199810,67.6,3.2
199910,63.9,-0.5
200010,65.2,0.8
200110,61.1,-3.3
200210,67.0,2.6
200310,64.5,0.1
200410,70.2,5.8
200510,64.1,-0.3
200610,63.4,-1.0
200710,66.5,2.1
200810,62.6,-1.8
200910,62.6,-1.8
201010,65.0,0.6
201110,61.3,-3.1
201210,62.1,-2.3
201310,65.4,1.0
201410,66.5,2.1
201510,66.5,2.1
201610,69.2,4.8
201710,66.2,1.8
201810,67.4,3.0
201910,66.6,2.2
202010,65.8,1.4
202110,68.5,4.1
