Mississippi, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197606,75.2,-3.1
197706,80.5,2.2
197806,78.6,0.3
197906,76.5,-1.8
198006,78.7,0.4
198106,80.3,2.0
198206,77.4,-0.9
198306,75.3,-3.0
198406,77.8,-0.5
198506,78.5,0.2
198606,79.5,1.2
198706,77.7,-0.6
198806,77.7,-0.6
198906,76.6,-1.7
199006,79.0,0.7
199106,78.4,0.1
199206,76.1,-2.2
199306,78.3,0.0
199406,79.0,0.7
199506,76.0,-2.3
199606,77.6,-0.7
199706,76.0,-2.3
199806,81.6,3.3
199906,78.4,0.1
200006,78.1,-0.2
200106,76.6,-1.7
200206,77.8,-0.5
200306,76.6,-1.7
200406,77.4,-0.9
200506,77.7,-0.6
200606,78.6,0.3
200706,79.2,0.9
200806,79.2,0.9
200906,80.2,1.9
201006,82.2,3.9
201106,82.2,3.9
201206,78.2,-0.1
201306,78.9,0.6
201406,78.6,0.3
201506,79.2,0.9
201606,80.2,1.9
201706,76.7,-1.6
201806,80.6,2.3
201906,78.3,0.0
202006,78.1,-0.2
202106,78.3,0.0
