Missouri, Average Temperature, October
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197610,50.8,-6.2
197710,55.5,-1.5
197810,54.9,-2.1
197910,57.7,0.7
198010,54.4,-2.6
198110,55.2,-1.8
198210,56.2,-0.8
198310,57.8,0.8
198410,58.1,1.1
198510,58.0,1.0
198610,56.8,-0.2
198710,51.7,-5.3
198810,51.5,-5.5
198910,58.1,1.1
199010,54.9,-2.1
199110,57.6,0.6
199210,56.1,-0.9
199310,53.5,-3.5
199410,58.0,1.0
199510,57.4,0.4
199610,56.6,-0.4
199710,56.9,-0.1
199810,58.6,1.6
199910,56.9,-0.1
200010,60.1,3.1
200110,55.8,-1.2
200210,53.1,-3.9
200310,57.2,0.2
200410,58.4,1.4
200510,56.9,-0.1
200610,53.8,-3.2
200710,60.0,3.0
200810,55.7,-1.3
200910,50.9,-6.1
201010,58.3,1.3
201110,57.2,0.2
201210,54.3,-2.7
201310,55.9,-1.1
201410,57.8,0.8
201510,57.7,0.7
201610,62.1,5.1
201710,59.0,2.0
201810,56.4,-0.6
201910,54.3,-2.7
202010,53.6,-3.4
202110,60.6,3.6
