Missouri, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197603,48.2,4.6
197703,48.7,5.1
197803,38.3,-5.3
197903,43.7,0.1
198003,39.7,-3.9
198103,45.0,1.4
198203,45.2,1.6
198303,43.9,0.3
198403,38.1,-5.5
198503,48.2,4.6
198603,48.2,4.6
198703,47.6,4.0
198803,44.2,0.6
198903,44.2,0.6
199003,46.9,3.3
199103,48.2,4.6
199203,47.0,3.4
199303,40.6,-3.0
199403,45.6,2.0
199503,46.2,2.6
199603,38.2,-5.4
199703,47.0,3.4
199803,41.1,-2.5
199903,42.3,-1.3
200003,48.2,4.6
200103,40.1,-3.5
200203,40.5,-3.1
200303,44.6,1.0
200403,48.3,4.7
200503,43.4,-0.2
200603,45.9,2.3
200703,53.0,9.4
200803,43.2,-0.4
200903,46.5,2.9
201003,45.0,1.4
201103,45.1,1.5
201203,58.1,14.5
201303,38.3,-5.3
201403,39.5,-4.1
201503,44.5,0.9
201603,50.4,6.8
201703,48.4,4.8
201803,44.0,0.4
201903,40.9,-2.7
202003,48.8,5.2
202103,50.0,6.4
202203,46.2,2.6
