Missouri, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197604,56.7,2.2
197704,59.5,5.0
197804,56.4,1.9
197904,52.8,-1.7
198004,53.6,-0.9
198104,61.9,7.4
198204,50.9,-3.6
198304,48.3,-6.2
198404,52.2,-2.3
198504,58.5,4.0
198604,58.2,3.7
198704,55.9,1.4
198804,54.7,0.2
198904,55.8,1.3
199004,53.6,-0.9
199104,57.8,3.3
199204,54.8,0.3
199304,51.2,-3.3
199404,55.5,1.0
199504,53.6,-0.9
199604,52.3,-2.2
199704,50.0,-4.5
199804,54.0,-0.5
199904,56.9,2.4
200004,54.4,-0.1
200104,60.5,6.0
200204,57.3,2.8
200304,56.7,2.2
200404,56.2,1.7
200504,56.8,2.3
200604,60.9,6.4
200704,52.3,-2.2
200804,52.2,-2.3
200904,53.4,-1.1
201004,60.5,6.0
201104,56.8,2.3
201204,59.0,4.5
201304,52.1,-2.4
201404,55.1,0.6
201504,57.7,3.2
201604,57.3,2.8
201704,58.5,4.0
201804,48.2,-6.3
201904,56.7,2.2
202004,53.1,-1.4
202104,54.3,-0.2
