Missouri, Average Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197607,77.3,-0.4
197707,79.4,1.7
197807,78.8,1.1
197907,75.9,-1.8
198007,84.0,6.3
198107,78.0,0.3
198207,78.0,0.3
198307,79.8,2.1
198407,75.5,-2.2
198507,77.0,-0.7
198607,80.4,2.7
198707,78.4,0.7
198807,77.3,-0.4
198907,76.2,-1.5
199007,76.5,-1.2
199107,78.1,0.4
199207,75.6,-2.1
199307,78.4,0.7
199407,75.2,-2.5
199507,77.1,-0.6
199607,74.9,-2.8
199707,77.7,0.0
199807,78.0,0.3
199907,80.0,2.3
200007,76.1,-1.6
200107,78.9,1.2
200207,79.0,1.3
200307,78.1,0.4
200407,74.3,-3.4
200507,78.0,0.3
200607,78.9,1.2
200707,75.9,-1.8
200807,76.6,-1.1
200907,72.8,-4.9
201007,79.1,1.4
201107,82.7,5.0
201207,83.6,5.9
201307,75.0,-2.7
201407,72.6,-5.1
201507,77.4,-0.3
201607,78.1,0.4
201707,78.8,1.1
201807,78.2,0.5
201907,77.6,-0.1
202007,79.2,1.5
202107,76.7,-1.0
