Montana, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197601,21.2,4.5
197701,12.6,-4.1
197801,10.0,-6.7
197901,2.1,-14.6
198001,12.6,-4.1
198101,28.3,11.6
198201,8.0,-8.7
198301,26.6,9.9
198401,23.6,6.9
198501,14.8,-1.9
198601,28.3,11.6
198701,24.2,7.5
198801,17.4,0.7
198901,21.4,4.7
199001,25.6,8.9
199101,15.6,-1.1
199201,28.0,11.3
199301,12.2,-4.5
199401,20.8,4.1
199501,22.4,5.7
199601,11.3,-5.4
199701,14.3,-2.4
199801,19.0,2.3
199901,22.2,5.5
200001,22.1,5.4
200101,24.6,7.9
200201,22.7,6.0
200301,24.7,8.0
200401,17.0,0.3
200501,18.1,1.4
200601,31.4,14.7
200701,21.8,5.1
200801,18.1,1.4
200901,21.1,4.4
201001,20.6,3.9
201101,19.1,2.4
201201,25.1,8.4
201301,21.7,5.0
201401,24.5,7.8
201501,24.7,8.0
201601,23.4,6.7
201701,15.2,-1.5
201801,21.7,5.0
201901,24.7,8.0
202001,23.4,6.7
202101,26.7,10.0
202201,23.0,6.3
