Montana, Average Temperature, October
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197610,41.6,-1.6
197710,43.9,0.7
197810,44.6,1.4
197910,46.0,2.8
198010,44.1,0.9
198110,41.7,-1.5
198210,42.3,-0.9
198310,44.7,1.5
198410,38.5,-4.7
198510,41.1,-2.1
198610,44.8,1.6
198710,43.9,0.7
198810,46.7,3.5
198910,43.1,-0.1
199010,42.6,-0.6
199110,40.4,-2.8
199210,44.7,1.5
199310,43.0,-0.2
199410,42.5,-0.7
199510,41.3,-1.9
199610,41.8,-1.4
199710,43.4,0.2
199810,44.2,1.0
199910,44.7,1.5
200010,43.5,0.3
200110,42.7,-0.5
200210,36.6,-6.6
200310,47.5,4.3
200410,43.1,-0.1
200510,45.1,1.9
200610,40.4,-2.8
200710,44.6,1.4
200810,43.7,0.5
200910,36.4,-6.8
201010,47.6,4.4
201110,45.9,2.7
201210,41.0,-2.2
201310,40.8,-2.4
201410,47.9,4.7
201510,48.0,4.8
201610,44.3,1.1
201710,42.6,-0.6
201810,41.6,-1.6
201910,35.4,-7.8
202010,39.3,-3.9
202110,45.6,2.4
