Montana, Average Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197603,27.8,-1.6
197703,31.4,2.0
197803,30.8,1.4
197903,29.9,0.5
198003,28.3,-1.1
198103,36.0,6.6
198203,28.5,-0.9
198303,33.6,4.2
198403,31.9,2.5
198503,30.2,0.8
198603,40.0,10.6
198703,33.0,3.6
198803,33.6,4.2
198903,26.7,-2.7
199003,33.4,4.0
199103,32.1,2.7
199203,38.7,9.3
199303,34.4,5.0
199403,35.9,6.5
199503,29.9,0.5
199603,24.2,-5.2
199703,31.8,2.4
199803,28.9,-0.5
199903,35.2,5.8
200003,35.5,6.1
200103,33.8,4.4
200203,19.8,-9.6
200303,29.8,0.4
200403,37.5,8.1
200503,34.6,5.2
200603,30.6,1.2
200703,38.9,9.5
200803,31.2,1.8
200903,28.3,-1.1
201003,36.2,6.8
201103,28.6,-0.8
201203,39.4,10.0
201303,30.5,1.1
201403,29.4,0.0
201503,39.5,10.1
201603,37.4,8.0
201703,35.8,6.4
201803,28.3,-1.1
201903,25.2,-4.2
202003,31.6,2.2
202103,36.2,6.8
202203,33.6,4.2
