Montana, Average Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197604,42.4,1.7
197704,45.0,4.3
197804,41.6,0.9
197904,37.6,-3.1
198004,46.1,5.4
198104,43.7,3.0
198204,36.6,-4.1
198304,38.7,-2.0
198404,40.7,0.0
198504,44.6,3.9
198604,40.6,-0.1
198704,48.0,7.3
198804,44.1,3.4
198904,41.0,0.3
199004,42.3,1.6
199104,40.6,-0.1
199204,43.8,3.1
199304,41.5,0.8
199404,42.6,1.9
199504,38.0,-2.7
199604,41.7,1.0
199704,36.0,-4.7
199804,43.7,3.0
199904,40.0,-0.7
200004,43.2,2.5
200104,41.1,0.4
200204,37.6,-3.1
200304,44.1,3.4
200404,44.3,3.6
200504,42.7,2.0
200604,44.9,4.2
200704,40.9,0.2
200804,37.6,-3.1
200904,39.8,-0.9
201004,41.6,0.9
201104,37.7,-3.0
201204,44.8,4.1
201304,36.9,-3.8
201404,41.0,0.3
201504,42.8,2.1
201604,45.0,4.3
201704,42.1,1.4
201804,37.9,-2.8
201904,41.9,1.2
202004,38.3,-2.4
202104,40.4,-0.3
