Montana, Average Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197606,56.5,-1.8
197706,62.1,3.8
197806,58.6,0.3
197906,59.3,1.0
198006,58.9,0.6
198106,55.7,-2.6
198206,57.3,-1.0
198306,57.6,-0.7
198406,57.8,-0.5
198506,57.9,-0.4
198606,63.5,5.2
198706,61.9,3.6
198806,67.9,9.6
198906,58.8,0.5
199006,58.9,0.6
199106,58.2,-0.1
199206,60.9,2.6
199306,55.8,-2.5
199406,59.3,1.0
199506,57.9,-0.4
199606,60.5,2.2
199706,60.6,2.3
199806,54.4,-3.9
199906,57.0,-1.3
200006,58.0,-0.3
200106,58.4,0.1
200206,59.5,1.2
200306,58.4,0.1
200406,56.1,-2.2
200506,57.7,-0.6
200606,61.6,3.3
200706,60.7,2.4
200806,56.7,-1.6
200906,56.6,-1.7
201006,57.5,-0.8
201106,56.3,-2.0
201206,60.2,1.9
201306,59.0,0.7
201406,56.5,-1.8
201506,63.8,5.5
201606,62.4,4.1
201706,60.6,2.3
201806,59.2,0.9
201906,58.6,0.3
202006,59.3,1.0
202106,65.3,7.0
