Montana, Average Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
197609,56.7,2.9
197709,53.1,-0.7
197809,55.4,1.6
197909,58.5,4.7
198009,54.7,0.9
198109,56.5,2.7
198209,52.7,-1.1
198309,52.1,-1.7
198409,49.1,-4.7
198509,47.8,-6.0
198609,48.9,-4.9
198709,56.5,2.7
198809,53.8,0.0
198909,54.3,0.5
199009,60.3,6.5
199109,55.6,1.8
199209,53.4,-0.4
199309,51.6,-2.2
199409,58.6,4.8
199509,54.5,0.7
199609,52.6,-1.2
199709,58.1,4.3
199809,61.4,7.6
199909,51.6,-2.2
200009,54.4,0.6
200109,58.7,4.9
200209,55.7,1.9
200309,54.6,0.8
200409,54.1,0.3
200509,55.4,1.6
200609,54.8,1.0
200709,55.0,1.2
200809,53.6,-0.2
200909,60.7,6.9
201009,54.1,0.3
201109,58.3,4.5
201209,58.2,4.4
201309,58.8,5.0
201409,55.1,1.3
201509,57.3,3.5
201609,54.8,1.0
201709,55.2,1.4
201809,53.0,-0.8
201909,55.0,1.2
202009,57.0,3.2
202109,58.3,4.5
